title,artist
As It Was,Harry Styles
First Class,Jack Harlow
Wait For U,Future Featuring Drake & Tems
About Damn Time,Lizzo
Heat Waves,Glass Animals
Big Energy,Latto
Me Porto Bonito,Bad Bunny & Chencho Corleone
Running Up That Hill (A Deal With God),Kate Bush
Late Night Talking,Harry Styles
Stay,The Kid LAROI & Justin Bieber
Titi Me Pregunto,Bad Bunny
Enemy,Imagine Dragons X JID
Wasted On You,Morgan Wallen
Moscow Mule,Bad Bunny
Ghost,Justin Bieber
Boyfriend,Dove Cameron
Woman,Doja Cat
Bad Habits,Ed Sheeran
Numb Little Bug,Em Beihold
Super Gremlin,Kodak Black
You Proof,Morgan Wallen
True Love,Kanye West & XXXTENTACION
Take My Name,Parmalee
Shivers,Ed Sheeran
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Party,Bad Bunny & Rauw Alejandro
Bam Bam,Camila Cabello Featuring Ed Sheeran
Thats What I Want,Lil Nas X
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Despues de La Playa,Bad Bunny
AA,Walker Hayes
Trouble With A Heartbreak,Jason Aldean
Puffin On Zootiez,Future
Provenza,Karol G
MAMIII,Becky G X Karol G
Ojitos Lindos,Bad Bunny & Bomba Estereo
Cooped Up,Post Malone Featuring Roddy Ricch
'Til You Can't,Cody Johnson
N95,Kendrick Lamar
Something In The Orange,Zach Bryan
Music For A Sushi Restaurant,Harry Styles
Matilda,Harry Styles
Thousand Miles,The Kid LAROI
She's All I Wanna Be,Tate McRae
In A Minute,Lil Baby
Daylight,Harry Styles
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
Damn Strait,Scotty McCreery
Get Into It (Yuh),Doja Cat
Efecto,Bad Bunny
Silent Hill,Kendrick Lamar & Kodak Black
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
Hold My Hand,Lady Gaga
2step,Ed Sheeran Featuring Lil Baby
Fall In Love,Bailey Zimmerman
To The Moon!,JNR CHOI & Sam Tompkins
Slow Down Summer,Thomas Rhett
Little Freak,Harry Styles
See Wat I'm Sayin,Moneybagg Yo
Die Young,Sleepy Hallow Featuring 347aidan
Grapejuice,Harry Styles
Un Ratito,Bad Bunny
Tarot,Bad Bunny & Jhay Cortez
When You're Gone,Shawn Mendes
Satellite,Harry Styles
Like I Love Country Music,Kane Brown
What Happened To Virgil,Lil Durk Featuring Gunna
Never Say Never,Cole Swindell / Lainey Wilson
Thought You Should Know,Morgan Wallen
If I Was A Cowboy,Miranda Lambert
Potion,"Calvin Harris, Dua Lipa & Young Thug"
Hotel Lobby (Unc And Phew),Quavo & Takeoff
Right On,Lil Baby
Freaky Deaky,Tyga X Doja Cat
Cinema,Harry Styles
Keep Driving,Harry Styles
Daydreaming,Harry Styles
Yo No Soy Celoso,Bad Bunny
Flower Shops,ERNEST Featuring Morgan Wallen
She Likes It,Russell Dickerson & Jake Scott
Love Of My Life,Harry Styles
Ghost Story,Carrie Underwood
Rich Spirit,Kendrick Lamar
La Corriente,Bad Bunny & Tony Dize
Neverita,Bad Bunny
She Had Me At Heads Carolina,Cole Swindell
Sunroof,Nicky Youre & dazy
Boyfriends,Harry Styles
Circles Around This Town,Maren Morris
Dua Lipa,Jack Harlow
F.N.F. (Let's Go),Hitkidd & Glorilla
Handsomer,Russ Featuring Ktlyn
I'm On One,Future Featuring Drake
DFMU,Ella Mai
Andrea,Bad Bunny & Buscabulla
Love You Better,Future
Wild Hearts,Keith Urban
Last Night Lonely,Jon Pardi
7500 OBO,Tim McGraw
Until I Found You,Stephen Sanchez
